"NUTS0","NUTS1","NUTS2","NUTS3","LAU1","LAU2","Year","Month","Day","numberPositive","numberObservations","isPositive","percentagePositive","LAU1Name","LAU2Name","variable1","variable2"
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,12,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.621240580541804,27.3083536558513
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,13,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-2.2146998871775,23.0664610355369
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,14,NA,0,NA,NA,"Harju maakond","Aegviidu vald",1.12493091814311,21.4970769063735
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,15,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.0449336090152309,17.5983180730232
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,16,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.0161902630989461,32.2841813803362
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,17,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.943836210685299,16.30569564042
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,18,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.821221195098089,17.2251022547562
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,19,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.593901321217509,21.4799216012369
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,20,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.918977371608218,23.4697536266023
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,21,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.782136300731067,17.2368415634622
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,22,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.0745649833651906,19.473725438294
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,23,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-1.98935169586337,25.7282587569095
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,24,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.61982574789471,20.9844554889836
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,25,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.0561287395290008,17.4230605084987
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,26,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.155795506705329,17.7892499468145
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,27,0,2,0,0,"Harju maakond","Aegviidu vald",-1.47075238389927,15.2534297157486
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,28,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.47815005510862,26.5450459395344
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,29,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.417941560199702,16.31130454993
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,30,NA,0,NA,NA,"Harju maakond","Aegviidu vald",1.35867955152904,19.1607859880077
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,1,31,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.102787727342996,16.389707372085
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,1,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.387671611559369,19.4939218548255
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,2,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.0538050405829051,18.3459513242185
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,3,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-1.37705955682861,25.2545159929173
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,4,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.41499456329968,17.2368967049557
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,5,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.394289953710349,29.5798938135431
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,6,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.0593133967111857,25.4781012451499
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,7,NA,0,NA,NA,"Harju maakond","Aegviidu vald",1.10002537198388,19.6994570758661
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,8,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.763175748457544,13.5990846228398
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,9,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.164523596253587,12.6398308417756
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,10,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.253361680136508,26.8216712428887
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,11,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.696963375404737,4.96468033373338
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,12,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.556663198673657,27.3446883908446
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,13,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.68875569454952,16.4390527790036
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,14,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.36458196213683,26.206753889493
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,15,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.70749515696212,19.1138024104886
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,16,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.768532924515416,16.4277115109351
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,17,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.112346212150228,13.0034265058651
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,18,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.881107726454215,17.4307485998944
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,19,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.398105880367068,12.8662723029727
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,20,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.612026393250771,21.2186897126366
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,21,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.341119691424425,15.1273691501043
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,22,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-1.12936309608079,12.2519285461184
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,23,NA,0,NA,NA,"Harju maakond","Aegviidu vald",1.43302370170104,24.9922155987206
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,24,NA,0,NA,NA,"Harju maakond","Aegviidu vald",1.98039989850586,20.2829632747141
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,25,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.367221476466509,23.311138720463
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,26,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-1.04413462631653,23.6452276462616
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,27,NA,0,NA,NA,"Harju maakond","Aegviidu vald",0.569719627442413,21.7876757848931
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,28,NA,0,NA,NA,"Harju maakond","Aegviidu vald",-0.135054603880824,20.2298694792107
"EE","EE0","EE00","EE001","EE0010037","EE00100370112",2016,2,29,NA,0,NA,NA,"Harju maakond","Aegviidu vald",2.40161776050478,17.8089419786361
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2015,12,31,NA,0,NA,NA,"Harju maakond","Anija vald",0.689739362450777,21.8541007029069
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,1,NA,0,NA,NA,"Harju maakond","Anija vald",-0.0392400027331692,26.7950814719251
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,2,NA,0,NA,NA,"Harju maakond","Anija vald",-0.743273208882405,26.6516808859416
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,3,NA,0,NA,NA,"Harju maakond","Anija vald",0.188792299514343,14.6789871620783
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,4,NA,0,NA,NA,"Harju maakond","Anija vald",0.0280021587806661,24.7223206056067
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,5,0,6,0,0,"Harju maakond","Anija vald",-1.80495862889104,15.2171645544336
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,6,NA,0,NA,NA,"Harju maakond","Anija vald",1.46555486156289,19.8695746338757
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,7,NA,0,NA,NA,"Harju maakond","Anija vald",0.153253338211898,20.568095775814
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,8,NA,0,NA,NA,"Harju maakond","Anija vald",2.17261167036215,15.8915966213187
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,9,NA,0,NA,NA,"Harju maakond","Anija vald",0.475509528899663,17.8246973889033
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,10,NA,0,NA,NA,"Harju maakond","Anija vald",-0.709946430921815,19.5903683804983
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,11,NA,0,NA,NA,"Harju maakond","Anija vald",0.610726353489055,19.7680023390268
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,12,0,10,0,0,"Harju maakond","Anija vald",-0.934097631644252,17.4183031476253
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,13,NA,0,NA,NA,"Harju maakond","Anija vald",-1.2536334002391,24.3598985986431
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,14,NA,0,NA,NA,"Harju maakond","Anija vald",0.291446235517463,26.6435669317654
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,15,NA,0,NA,NA,"Harju maakond","Anija vald",-0.443291873218433,23.7272256466161
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,16,NA,0,NA,NA,"Harju maakond","Anija vald",0.00110535163162413,18.5881094526149
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,17,NA,0,NA,NA,"Harju maakond","Anija vald",0.0743413241516641,18.9508150833196
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,18,NA,0,NA,NA,"Harju maakond","Anija vald",-0.589520946188072,13.5328458933309
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,19,0,20,0,0,"Harju maakond","Anija vald",-0.568668732818502,21.1858051048784
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,20,0,4,0,0,"Harju maakond","Anija vald",-0.135178615123832,23.3105196628574
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,21,NA,0,NA,NA,"Harju maakond","Anija vald",1.1780869965732,20.7410500632499
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,22,0,2,0,0,"Harju maakond","Anija vald",-1.52356680042976,14.0193319133676
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,23,NA,0,NA,NA,"Harju maakond","Anija vald",0.593946187628422,26.5969732902292
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,24,NA,0,NA,NA,"Harju maakond","Anija vald",0.332950371213518,12.9156746824079
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,25,NA,0,NA,NA,"Harju maakond","Anija vald",1.06309983727636,17.5088013432621
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,26,0,4,0,0,"Harju maakond","Anija vald",-0.304183923634301,24.1401907527794
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,27,0,2,0,0,"Harju maakond","Anija vald",0.370018809916288,27.7431216169981
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,28,0,2,0,0,"Harju maakond","Anija vald",0.267098790772231,13.9046280634822
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,29,3,8,1,0.375,"Harju maakond","Anija vald",-0.54252003099165,20.8070090183766
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,30,NA,0,NA,NA,"Harju maakond","Anija vald",1.20786780598317,20.3936478367076
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,1,31,NA,0,NA,NA,"Harju maakond","Anija vald",1.16040261569495,20.828933310096
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,1,NA,0,NA,NA,"Harju maakond","Anija vald",0.700213649514998,31.7662111592619
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,2,0,6,0,0,"Harju maakond","Anija vald",1.58683345454085,17.4000134419113
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,3,0,2,0,0,"Harju maakond","Anija vald",0.558486425565304,16.1790636270635
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,4,0,2,0,0,"Harju maakond","Anija vald",-1.27659220845804,20.4639281108785
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,5,2,2,1,1,"Harju maakond","Anija vald",-0.573265414236886,31.5911312854696
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,6,NA,0,NA,NA,"Harju maakond","Anija vald",-1.22461261489836,17.1688275996119
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,7,NA,0,NA,NA,"Harju maakond","Anija vald",-0.473400636439312,16.1272422242892
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,8,NA,0,NA,NA,"Harju maakond","Anija vald",-0.620366677224124,15.9767124165224
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,9,0,26,0,0,"Harju maakond","Anija vald",0.0421158731442352,22.1098626103157
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,10,NA,0,NA,NA,"Harju maakond","Anija vald",-0.910921648552446,17.845534575547
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,11,NA,0,NA,NA,"Harju maakond","Anija vald",0.158028772404075,18.7984618916464
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,12,NA,0,NA,NA,"Harju maakond","Anija vald",-0.654584643918818,15.6880766524002
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,13,NA,0,NA,NA,"Harju maakond","Anija vald",1.76728726937265,17.2441813856722
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,14,NA,0,NA,NA,"Harju maakond","Anija vald",0.910174229495227,19.7404306499554
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,15,0,2,0,0,"Harju maakond","Anija vald",0.716707476017206,22.1845729069155
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,16,0,4,0,0,"Harju maakond","Anija vald",0.384185357826345,18.6563215481595
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,17,0,12,0,0,"Harju maakond","Anija vald",1.68217608051942,20.8879251758129
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,18,NA,0,NA,NA,"Harju maakond","Anija vald",-0.635736453948977,15.3888432505568
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,19,0,1,0,0,"Harju maakond","Anija vald",-0.461644730360566,17.0623668348454
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,20,NA,0,NA,NA,"Harju maakond","Anija vald",1.43228223854166,22.8402593896954
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,21,NA,0,NA,NA,"Harju maakond","Anija vald",-0.650696353310367,27.3737033960418
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,22,NA,0,NA,NA,"Harju maakond","Anija vald",-0.207380743601965,20.0414694214036
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,23,0,7,0,0,"Harju maakond","Anija vald",-0.392807929441984,18.2007227272472
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,24,NA,0,NA,NA,"Harju maakond","Anija vald",-0.319992868548507,18.0819988623528
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,25,NA,0,NA,NA,"Harju maakond","Anija vald",-0.279113302976559,15.9557312138821
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,26,0,6,0,0,"Harju maakond","Anija vald",0.494188331267827,13.2433180252943
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,27,NA,0,NA,NA,"Harju maakond","Anija vald",-0.177330482269606,16.2633297845508
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,28,0,4,0,0,"Harju maakond","Anija vald",-0.505957462114257,10.1524453047326
"EE","EE0","EE00","EE001","EE0010037","EE00100370140",2016,2,29,NA,0,NA,NA,"Harju maakond","Anija vald",1.34303882517041,28.1066187329868
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2015,12,31,NA,0,NA,NA,"Harju maakond","Harku vald",-0.179556530043387,24.1476797483981
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,1,NA,0,NA,NA,"Harju maakond","Harku vald",-0.214579408546869,21.4077231937068
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,2,NA,0,NA,NA,"Harju maakond","Harku vald",0.712666307051405,19.0947125668853
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,3,NA,0,NA,NA,"Harju maakond","Harku vald",-0.0735644041263263,17.7032575953503
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,4,NA,0,NA,NA,"Harju maakond","Harku vald",-0.100190741213562,21.6113123770289
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,5,0,12,0,0,"Harju maakond","Harku vald",-0.0376341714670479,24.5864963526466
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,6,NA,0,NA,NA,"Harju maakond","Harku vald",-0.681660478755657,23.4235031911317
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,7,NA,0,NA,NA,"Harju maakond","Harku vald",-0.324270272246319,16.2564349953811
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,8,NA,0,NA,NA,"Harju maakond","Harku vald",0.0601604404345152,19.115772653356
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,9,NA,0,NA,NA,"Harju maakond","Harku vald",-0.588894486259664,12.9542956296507
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,10,NA,0,NA,NA,"Harju maakond","Harku vald",0.531496192632572,14.8994994574936
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,11,NA,0,NA,NA,"Harju maakond","Harku vald",-1.51839408178679,19.7742095813912
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,12,0,22,0,0,"Harju maakond","Harku vald",0.306557860789766,33.6713953650637
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,13,NA,0,NA,NA,"Harju maakond","Harku vald",-1.53644982353759,23.2445632285756
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,14,NA,0,NA,NA,"Harju maakond","Harku vald",-0.300976126836611,25.011230903997
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,15,NA,0,NA,NA,"Harju maakond","Harku vald",-0.528279904445006,27.6862370744916
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,16,NA,0,NA,NA,"Harju maakond","Harku vald",-0.652094780680999,20.0610033911469
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,17,NA,0,NA,NA,"Harju maakond","Harku vald",-0.0568967778473925,12.8328618512686
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,18,NA,0,NA,NA,"Harju maakond","Harku vald",-1.91435942568001,20.9129805223007
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,19,0,18,0,0,"Harju maakond","Harku vald",1.17658331201856,16.8307241837759
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,20,NA,0,NA,NA,"Harju maakond","Harku vald",-1.664972436212,13.707969908655
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,21,NA,0,NA,NA,"Harju maakond","Harku vald",-0.463530401472386,12.2193394166111
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,22,NA,0,NA,NA,"Harju maakond","Harku vald",-1.11592010504285,18.3825329721255
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,23,NA,0,NA,NA,"Harju maakond","Harku vald",-0.750819001193448,28.7903939632111
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,24,NA,0,NA,NA,"Harju maakond","Harku vald",2.08716654562835,25.5946977379465
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,25,NA,0,NA,NA,"Harju maakond","Harku vald",0.0173956196932517,23.8633553294433
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,26,NA,0,NA,NA,"Harju maakond","Harku vald",-1.28630053043433,18.4476446170985
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,27,NA,0,NA,NA,"Harju maakond","Harku vald",-1.64060553441858,18.6601170536114
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,28,NA,0,NA,NA,"Harju maakond","Harku vald",0.450187101272656,24.3277803170559
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,29,NA,0,NA,NA,"Harju maakond","Harku vald",-0.018559832714638,19.9014370699715
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,30,NA,0,NA,NA,"Harju maakond","Harku vald",-0.318068374543844,15.5039807996465
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,1,31,NA,0,NA,NA,"Harju maakond","Harku vald",-0.929362147453702,17.9970507534492
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,1,NA,0,NA,NA,"Harju maakond","Harku vald",-1.48746031014148,21.7720848499739
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,2,NA,0,NA,NA,"Harju maakond","Harku vald",-1.07519229661568,26.4652990829453
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,3,NA,0,NA,NA,"Harju maakond","Harku vald",1.00002880371391,21.1113065093452
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,4,NA,0,NA,NA,"Harju maakond","Harku vald",-0.621266694796823,20.6530664472514
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,5,NA,0,NA,NA,"Harju maakond","Harku vald",-1.38442684738449,7.41659662917243
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,6,0,8,0,0,"Harju maakond","Harku vald",1.86929062242358,22.6031777541577
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,7,NA,0,NA,NA,"Harju maakond","Harku vald",0.425100377372448,23.4430717288492
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,8,NA,0,NA,NA,"Harju maakond","Harku vald",-0.238647100913033,24.4465483959577
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,9,0,16,0,0,"Harju maakond","Harku vald",1.05848304870902,20.8544004087995
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,10,NA,0,NA,NA,"Harju maakond","Harku vald",0.886422651374936,19.1119717878673
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,11,NA,0,NA,NA,"Harju maakond","Harku vald",-0.619243048231147,27.912022118312
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,12,NA,0,NA,NA,"Harju maakond","Harku vald",2.20610246454047,16.5994134375179
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,13,NA,0,NA,NA,"Harju maakond","Harku vald",-0.255027030141015,18.7961494715901
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,14,NA,0,NA,NA,"Harju maakond","Harku vald",-0.144399601954219,22.2471005008165
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,15,NA,0,NA,NA,"Harju maakond","Harku vald",-1.42449465021281,17.2186580112427
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,16,NA,0,NA,NA,"Harju maakond","Harku vald",0.207538339232345,23.773852776236
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,17,NA,0,NA,NA,"Harju maakond","Harku vald",2.30797839905936,14.4377626969505
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,18,NA,0,NA,NA,"Harju maakond","Harku vald",0.105802367893711,16.5103599778041
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,19,NA,0,NA,NA,"Harju maakond","Harku vald",0.456998805423414,18.2057599121203
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,20,NA,0,NA,NA,"Harju maakond","Harku vald",-0.077152935356531,20.4123899205673
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,21,NA,0,NA,NA,"Harju maakond","Harku vald",-0.334000842366544,17.4351020089508
"EE","EE0","EE00","EE001","EE0010037","EE00100370198",2016,2,22,NA,0,NA,NA,"Harju maakond","Harku vald",-0.0347260283112762,14.1901557280805
